IDC,COMMUNE,SUP,POP
1701,Djelfa,542.17,289226
1702,Moudjebara,737.7,14052	
1703,El Guedid,1152.16,12833
1704,Hassi Bahbah,773.74,86421
1705,Ain Maabed,328.02,19997
1706,Sed Rahal,950,13693
1707,Faidh El Botma,868,32501
1708,Birine,800,30913
1709,Bouira Lahdab,378.4,10993
1710,Zaccar,225.02,1809
1711,El Khemis,500.24,5405
1712,Sidi Baizid,523.9,7933
1713,M'Liliha,908.07,14242
1714,El Idrissia,375.09,32900
1715,Douis,502.76,9344
1716,Hassi El Euch,509.14,11692
1717,Messaad,147.76,102453
1718,Guettara,4864.3,9926
1719,Sidi Ladjel,373.11,13661
1720,Had Sahary,854.09,30451
1721,Guernini,523.9,4594
1722,Selmana,1894,19471
1723,Ain Chouhada,211.25,4549
1724,Oum Laadham,3888.72,23051
1725,Dar Chioukh,338.7,30372
1726,Charef,590.55,24028
1727,Benyacoub,194.17,9940
1728,Zaafrane,1197.8,12972
1729,Deldoul,1865,11230
1730,Ain El Ibel,562.37,28406
1731,Ain Oussera,809.49,101239
1732,Benhar,1070,17207
1733,Hassi Fedoul,491.51,13171
1734,Amourah,1052.4,7744
1735,Ain Fekka,464.24,23404
1736,Tadmit,788.58,10359

